"APPLICATION_NUMBER","PRIMARY_OWNER_NAME","WATER_RIGHT_TYPE","WATER_RIGHT_STATUS","CALENDAR YEAR","DATE_REPORT_FILED","REVISION","FACE_VALUE_OR_REPORTED_VALUE","COUNTY","SOURCE","HUC8_NAME","HUC12_NAME","WATERSHED","POD_COUNT","TOTAL_DIRECT_DIVERSION","TOTAL_DIVERTED_STORAGE","TOTAL_DIVERTED","TOTAL_AMOUNT_USED","JAN_DIRECT_DIVERSION","FEB_DIRECT_DIVERSION","MAR_DIRECT_DIVERSION","APR_DIRECT_DIVERSION","MAY_DIRECT_DIVERSION","JUN_DIRECT_DIVERSION","JUL_DIRECT_DIVERSION","AUG_DIRECT_DIVERSION","SEP_DIRECT_DIVERSION","OCT_DIRECT_DIVERSION","NOV_DIRECT_DIVERSION","DEC_DIRECT_DIVERSION","JAN_DIVERTED_STORAGE","FEB_DIVERTED_STORAGE","MAR_DIVERTED_STORAGE","APR_DIVERTED_STORAGE","MAY_DIVERTED_STORAGE","JUN_DIVERTED_STORAGE","JUL_DIVERTED_STORAGE","AUG_DIVERTED_STORAGE","SEP_DIVERTED_STORAGE","OCT_DIVERTED_STORAGE","NOV_DIVERTED_STORAGE","DEC_DIVERTED_STORAGE","JAN_DIVERTED_TOTAL","FEB_DIVERTED_TOTAL","MAR_DIVERTED_TOTAL","APR_DIVERTED_TOTAL","MAY_DIVERTED_TOTAL","JUN_DIVERTED_TOTAL","JUL_DIVERTED_TOTAL","AUG_DIVERTED_TOTAL","SEP_DIVERTED_TOTAL","OCT_DIVERTED_TOTAL","NOV_DIVERTED_TOTAL","DEC_DIVERTED_TOTAL","JAN_AMOUNT_USED","FEB_AMOUNT_USED","MAR_AMOUNT_USED","APR_AMOUNT_USED","MAY_AMOUNT_USED","JUN_AMOUNT_USED","JUL_AMOUNT_USED","AUG_AMOUNT_USED","SEP_AMOUNT_USED","OCT_AMOUNT_USED","NOV_AMOUNT_USED","DEC_AMOUNT_USED"
"A000353","KINGS RIVER WATER ASSOCIATION","Appropriative","Licensed","Jan 2000 - Dec 2000","2021-05-03","1","224500.0","Kings","KINGS RIVER","Tulare Lake Bed","Town of Lemoore-Kings River","SOUTH VALLEY FLOOR","1","18093.0","1709.0","19802.0","19803.0","0.0","0.0","0.0","0.0","0.0","18093.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1142.0","567.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1142.0","567.0","0.0","0.0","18093.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","66.0","19737.0","0.0","0.0","0.0","0.0","0.0","0.0"
"A000360","KINGS RIVER WATER ASSOCIATION","Appropriative","Licensed","Jan 2000 - Dec 2000","2021-05-03","1","2786000.0","Kings","SOUTH FORK KINGS RIVER","Tulare Lake Bed","Town of Huron-Kings River","SOUTH VALLEY FLOOR","44","790516.0","474510.0","1265026.0","1296874.0","12512.0","16896.0","37054.0","95646.0","255224.0","266223.0","55467.0","20128.0","2640.0","15611.0","6815.0","6300.0","31979.0","105456.0","104506.0","114814.0","52218.0","0.0","0.0","0.0","0.0","0.0","35116.0","30421.0","44491.0","122352.0","141560.0","210460.0","307442.0","266223.0","55467.0","20128.0","2640.0","15611.0","41931.0","36721.0","12512.0","16896.0","37054.0","95646.0","255224.0","297525.0","307443.0","195883.0","32476.0","33100.0","6815.0","6300.0"
"A003256","MAHINA KOA LLC","Appropriative","Licensed","Jan 2000 - Dec 2000","2012-03-13","1","426.5","Shasta","UNST","Cow Creek","Glendenning Creek","WHITMORE","1","","","0.0","3.805436","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.030689","0.030689","0.030689","0.30689","0.30689","0.30689","0.61378","0.61378","0.61378","0.61378","0.30689","0.030689"
"A003353","HOT SPRING VALLEY WATER DISTRICT","Appropriative","Licensed","Jan 2000 - Dec 2000","2012-01-19","1","48400.0","Modoc","RATTLESNAKE CREEK","Upper Pit","Big Sage Reservoir","PIT RIVER","1","","","142000.0","17000.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","142000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","500.0","5000.0","5000.0","5000.0","1500.0","0.0","0.0"
"A005640","KINGS RIVER WATER ASSOCIATION","Appropriative","Licensed","Jan 2000 - Dec 2000","2021-05-03","1","913412.4","Kings","CLARKS FORK KINGS RIVER","Tulare Lake Bed","South Fork Kings River-North Fork Kings River","SOUTH VALLEY FLOOR","38","0.0","142672.0","142672.0","105024.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","142672.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","142672.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","56250.0","48774.0","0.0","0.0","0.0","0.0","0.0"
"A008418","CITY OF OCEANSIDE","Appropriative","Permitted","Jan 2000 - Dec 2000","2013-04-24","2","1250.0","San Diego","SAN LUIS REY RIVER","San Luis Rey-Escondido","Guajome Lake-San Luis Rey River","SAN LUIS REY","11","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"A011331","US BUREAU OF RECLAMATION","Appropriative","Permitted","Jan 2000 - Dec 2000","2012-06-29","1","347397.8","Santa Barbara","SANTA YNEZ RIVER","Santa Ynez","Calabazal Creek-Santa Ynez River","SANTA YNEZ","1","","","39518.7","20568.2","","","","","","","","","","","","","","","","","","","","","","","","","87.6","16225.2","17552.0","4987.3","584.0","0.0","0.0","0.0","0.0","56.0","26.6","0.0","786.1","250.2","306.0","920.0","584.0","1066.0","3370.0","2723.0","5804.0","2470.6","1163.3","1125.0"
"A011332","US BUREAU OF RECLAMATION","Appropriative","Permitted","Jan 2000 - Dec 2000","2012-06-29","1","311198.9","Santa Barbara","SANTA YNEZ RIVER","Santa Ynez","Calabazal Creek-Santa Ynez River","SANTA YNEZ","1","","","6733.6","21429.0","","","","","","","","","","","","","","","","","","","","","","","","","340.1","700.0","1238.0","2213.7","2042.4","0.0","0.0","0.0","0.0","117.6","81.8","0.0","1598.6","1076.0","1238.0","2412.0","3143.4","2186.0","2039.0","1968.0","1759.0","1217.0","1391.0","1401.0"
"A011343","US BUREAU OF RECLAMATION","Appropriative","Licensed","Jan 2000 - Dec 2000","2012-06-27","1","165800.0","Santa Barbara","CUYAMA RIVER","Cuyama","Twitchell Reservoir-Cuyama River","SANTA  MARIA","1","","","13219.3","12673.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","7761.2","5402.4","0.0","55.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3443.5","4380.1","4849.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"A011761","US BUREAU OF RECLAMATION","Appropriative","Permitted","Jan 2000 - Dec 2000","2012-06-18","1","11359.7","Santa Barbara","LAURO CREEK","Santa Barbara Coastal","Mission Creek-Frontal Santa Barbara Channel","SOUTH COAST","1","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
